ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000988.SZ,20250916,81.58,83.99,80.28,81.34,81.26,0.08,0.0984,856024.81,6998396.308
000988.SZ,20250917,82.48,86.92,82.1,85.57,81.34,4.23,5.2004,897802.2,7636034.108
000988.SZ,20250918,85.0,91.33,83.33,87.57,85.57,2.0,2.3373,1182285.11,10303823.168
000988.SZ,20250919,88.3,94.54,87.5,91.12,87.57,3.55,4.0539,991944.77,9033400.433
000988.SZ,20250922,91.92,93.76,87.03,92.35,91.12,1.23,1.3499,952669.02,8677192.453
000988.SZ,20250923,93.98,95.55,85.94,88.25,92.35,-4.1,-4.4396,1162120.69,10381276.079
000988.SZ,20250924,86.96,89.33,85.4,88.8,88.25,0.55,0.6232,688422.16,6036598.539
000988.SZ,20250925,91.1,97.68,90.18,97.68,88.8,8.88,10.0,1032287.29,9829953.455
000988.SZ,20250926,98.0,100.89,92.2,92.2,97.68,-5.48,-5.6102,1130274.17,10866851.673
000988.SZ,20250929,94.01,99.85,93.0,99.15,92.2,6.95,7.538,861968.66,8411665.963
000988.SZ,20250930,100.19,100.66,91.77,92.48,99.15,-6.67,-6.7272,1179614.31,11196264.34
000988.SZ,20251009,90.15,91.9,88.11,88.41,92.48,-4.07,-4.401,970481.98,8675958.044
000988.SZ,20251010,87.5,88.34,84.79,85.24,88.41,-3.17,-3.5856,669523.76,5778751.246
000988.SZ,20251013,80.47,84.2,80.47,82.52,85.24,-2.72,-3.191,608029.19,5008538.296
000988.SZ,20251014,84.1,84.48,78.1,78.56,82.52,-3.96,-4.7988,722410.12,5860789.391
000988.SZ,20251015,78.8,80.67,77.19,80.37,78.56,1.81,2.304,574699.33,4540821.786
000988.SZ,20251016,79.62,83.11,79.02,80.96,80.37,0.59,0.7341,570955.54,4639144.218
000988.SZ,20251017,81.27,81.5,77.34,77.5,80.96,-3.46,-4.2737,491307.69,3850053.104
000988.SZ,20251020,79.51,82.68,78.9,79.74,77.5,2.24,2.8903,616029.15,4968156.92
000988.SZ,20251021,80.8,83.95,79.69,82.78,79.74,3.04,3.8124,744717.47,6120990.656
000988.SZ,20251022,82.72,87.17,82.1,85.16,82.78,2.38,2.8751,784753.08,6683596.768
000988.SZ,20251023,84.16,84.5,80.53,82.6,85.16,-2.56,-3.0061,575405.8,4709897.872
000988.SZ,20251024,78.5,81.45,76.9,81.02,82.6,-1.58,-1.9128,1144748.33,9035858.279
000988.SZ,20251027,84.0,88.97,83.3,87.0,81.02,5.98,7.3809,1137346.03,9740382.067
000988.SZ,20251028,87.04,88.98,86.01,86.63,87.0,-0.37,-0.4253,797987.59,6973030.542
000988.SZ,20251029,87.78,89.28,85.93,87.38,86.63,0.75,0.8658,724272.76,6357912.53
000988.SZ,20251030,86.83,86.83,83.44,83.7,87.38,-3.68,-4.2115,667219.43,5641373.654
000988.SZ,20251031,83.5,83.69,79.74,79.82,83.7,-3.88,-4.6356,652662.16,5305497.366
000988.SZ,20251103,78.54,79.37,76.08,78.26,79.82,-1.56,-1.9544,555715.3,4307785.229
000988.SZ,20251104,77.99,78.72,76.3,76.88,78.26,-1.38,-1.7634,336228.89,2600773.561
000988.SZ,20251105,74.51,76.26,74.3,75.75,76.88,-1.13,-1.4698,392195.32,2950632.506
000988.SZ,20251106,76.32,78.5,76.21,78.25,75.75,2.5,3.3003,462898.83,3588922.583
000988.SZ,20251107,77.02,78.39,76.06,77.42,78.25,-0.83,-1.0607,335212.3,2588201.119
000988.SZ,20251110,77.07,78.1,74.66,75.98,77.42,-1.44,-1.86,383758.06,2908314.395
000988.SZ,20251111,76.9,77.2,72.86,73.02,75.98,-2.96,-3.8958,472298.27,3512310.833
000988.SZ,20251112,72.31,73.1,71.08,72.08,73.02,-0.94,-1.2873,417904.97,3008646.879
000988.SZ,20251113,72.32,73.82,71.48,73.34,72.08,1.26,1.7481,301016.05,2186359.277
000988.SZ,20251114,72.21,72.65,71.12,71.31,73.34,-2.03,-2.7679,235836.94,1693013.866
000988.SZ,20251117,71.31,72.82,71.13,71.68,71.31,0.37,0.5189,228538.1,1638742.01
000988.SZ,20251118,71.4,73.26,70.87,71.79,71.68,0.11,0.1535,286755.48,2064634.089
000988.SZ,20251119,71.7,73.28,71.25,71.98,71.79,0.19,0.2647,311743.19,2254785.212
000988.SZ,20251120,73.82,74.14,71.01,71.33,71.98,-0.65,-0.903,313475.06,2259142.593
000988.SZ,20251121,69.22,69.7,67.28,67.88,71.33,-3.45,-4.8367,386473.84,2650542.252
000988.SZ,20251124,68.62,69.23,67.38,68.41,67.88,0.53,0.7808,377474.48,2582299.17
000988.SZ,20251125,69.47,72.8,69.47,70.77,68.41,2.36,3.4498,487932.88,3479561.405
000988.SZ,20251126,70.21,74.14,69.85,72.4,70.77,1.63,2.3032,590681.84,4289590.017
000988.SZ,20251127,72.01,75.98,71.91,72.91,72.4,0.51,0.7044,589690.67,4372482.548
000988.SZ,20251128,72.51,73.71,71.51,72.83,72.91,-0.08,-0.1097,337040.61,2446562.233
000988.SZ,20251201,72.95,73.74,71.75,73.62,72.83,0.79,1.0847,511180.94,3726724.31
000988.SZ,20251202,73.4,73.95,72.77,73.13,73.62,-0.49,-0.6656,340717.91,2495754.23
000988.SZ,20251203,72.99,74.44,71.82,72.08,73.13,-1.05,-1.4358,345283.01,2513230.738
000988.SZ,20251204,71.5,73.11,70.8,72.6,72.08,0.52,0.7214,286198.15,2062788.347
000988.SZ,20251205,73.1,76.62,72.15,74.88,72.6,2.28,3.1405,613870.88,4582336.204
000988.SZ,20251208,75.1,81.8,75.1,79.58,74.88,4.7,6.2767,808874.41,6409727.656
000988.SZ,20251209,79.93,81.99,79.6,80.36,79.58,0.78,0.9801,675463.81,5449401.601
000988.SZ,20251210,81.0,84.95,80.89,83.2,80.36,2.84,3.5341,721705.87,5968678.018
000988.SZ,20251211,83.21,83.23,79.95,79.96,83.2,-3.24,-3.8942,585206.38,4759713.791
000988.SZ,20251212,79.67,80.99,77.5,78.18,79.96,-1.78,-2.2261,650179.66,5145570.184
000988.SZ,20251215,78.01,78.5,74.98,75.27,78.18,-2.91,-3.7222,522528.54,3963859.798
000988.SZ,20251216,74.85,75.18,71.95,72.61,75.27,-2.66,-3.5339,445543.26,3255427.497
000988.SZ,20251217,73.0,77.69,72.7,77.29,72.61,4.68,6.4454,640518.25,4823879.385
000988.SZ,20251218,75.7,77.12,75.4,75.47,77.29,-1.82,-2.3548,380464.14,2892646.525
000988.SZ,20251219,76.88,76.88,74.85,75.0,75.47,-0.47,-0.6228,324686.41,2457412.313
000988.SZ,20251222,76.31,80.23,76.25,79.78,75.0,4.78,6.3733,574416.48,4541818.431
000988.SZ,20251223,79.98,81.24,79.31,79.86,79.78,0.08,0.1003,442337.02,3537663.795
000988.SZ,20251224,80.69,80.75,78.88,80.51,79.86,0.65,0.8139,458610.37,3671920.505
000988.SZ,20251225,81.0,82.09,79.12,80.12,80.51,-0.39,-0.4844,404578.95,3246881.291
000988.SZ,20251226,79.58,82.3,78.51,80.68,80.12,0.56,0.699,544802.0,4367563.991
000988.SZ,20251229,80.02,82.38,79.7,80.2,80.68,-0.48,-0.5949,475336.62,3834026.014
000988.SZ,20251230,79.4,82.2,79.06,80.71,80.2,0.51,0.6359,522851.02,4237775.151
000988.SZ,20251231,81.0,81.05,78.53,79.33,80.71,-1.38,-1.7098,431206.31,3433086.397
000988.SZ,20260105,79.55,83.85,79.55,81.93,79.33,2.6,3.2774,708854.75,5822592.726
